noun,support,len,variation,is_human_related
entregador,entregador,10,4,True
senhorio,senhorio,8,4,True
autora,autor,6,4,True
septuagenario,septuagenario,13,4,True
soletradora,soletrador,11,4,True
arrenegadora,arrenegador,12,4,True
serva,servo,5,4,True
entregadora,entregador,11,4,True
soletradoras,soletrador,12,4,True
senhoria,senhorio,8,4,True
arrenegador,arrenegador,11,4,True
esbulhador,esbulhador,10,4,True
arrenegadoras,arrenegador,13,4,True
eslovacas,eslovaco,9,4,True
inscultor,inscultor,9,4,True
autoras,autor,7,4,True
servas,servo,6,4,True
septuagenarias,septuagenario,14,4,True
autores,autor,7,4,True
soletradores,soletrador,12,4,True
septuagenaria,septuagenario,13,4,True
inscultora,inscultor,10,4,True
entregadoras,entregador,12,4,True
entomologos,entomologo,11,4,True
inscultoras,inscultor,11,4,True
entregadores,entregador,12,4,True
arrecadadores,arrecadador,13,4,True
solicitadora,solicitador,12,4,True
senhoracas,senhoraco,10,4,True
senhoraca,senhoraco,9,4,True
imperador,imperador,9,4,True
imperadores,imperador,11,4,True
solicitadoras,solicitador,13,4,True
sericicultor,sericicultor,12,4,True
solicitadores,solicitador,13,4,True
arrecadadora,arrecadador,12,4,True
arrecadadoras,arrecadador,13,4,True
arrenegadores,arrenegador,13,4,True
eslovaca,eslovaco,8,4,True
sericicultora,sericicultor,13,4,True
esbulhadores,esbulhador,12,4,True
esbulhadoras,esbulhador,12,4,True
entomologo,entomologo,10,4,True
arrecadador,arrecadador,11,4,True
sericicultores,sericicultor,14,4,True
eslovaco,eslovaco,8,4,True
sericicultoras,sericicultor,14,4,True
eslovacos,eslovaco,9,4,True
imperatrizes,imperador,12,4,True
imperatriz,imperador,10,4,True
entomologa,entomologo,10,4,True
senhorias,senhorio,9,4,True
sacudidores,sacudidor,11,4,True
senhoracos,senhoraco,10,4,True
imitadores,imitador,10,4,True
inscultores,inscultor,11,4,True
imitadoras,imitador,10,4,True
esbulhadora,esbulhador,11,4,True
imitadora,imitador,9,4,True
imitador,imitador,8,4,True
sacudidoras,sacudidor,11,4,True
senhoraco,senhoraco,9,4,True
solicitador,solicitador,11,4,True
entomologas,entomologo,11,4,True
sacudidor,sacudidor,9,4,True
sacudidora,sacudidor,10,4,True
hipotensas,hipotenso,10,4,True
arremessador,arremessador,12,4,True
impostoraca,impostoraco,11,4,True
impostora,impostor,9,4,True
impostor,impostor,8,4,True
inquilino,inquilino,9,4,True
