noun,support,len,variation
alares,alares,6,1
hespérides,hespérides,10,1
escassez,escassez,8,1
tempão,tempão,6,1
xalmas,xalmas,6,1
pleuris,pleuris,7,1
fiote,fiote,5,1
gentinha,gentinha,8,1
balugas,balugas,7,1
idos,idos,4,1
mortulhas,mortulhas,9,1
herpes,herpes,6,1
calcorros,calcorros,9,1
esquivez,esquivez,8,1
hermes,hermes,6,1
sonegados,sonegados,9,1
ee,e,2,1
salomão,salomão,7,1
wellingtoniáceas,wellingtoniáceas,16,1
balística,balística,9,1
welwitschiáceas,welwitschiáceas,15,1
bentinhos,bentinhos,9,1
negrotim,negrotim,8,1
caos,caos,4,1
winteranáceas,winteranáceas,13,1
fundamental,fundamental,11,1
víveres,víveres,7,1
fantástico,fantástico,10,1
inférias,inférias,8,1
pandictas,pandictas,9,1
manganés,manganés,8,1
longes,longes,6,1
longe,longe,5,1
beribéri,beribéri,8,1
inglúvias,inglúvias,9,1
varloas,varloas,7,1
rex,rex,3,1
mecenas,mecenas,7,1
entrecobertas,entrecobertas,13,1
pangeia,pangeia,7,1
entrecilhas,entrecilhas,11,1
ambages,ambages,7,1
berliques,berliques,9,1
id,id,2,1
calazar,calazar,7,1
esq,esq,3,1
árgon,árgon,5,1
atlas,atlas,5,1
panateneias,panateneias,11,1
amarílis,amarílis,8,1
garafunhas,garafunhas,10,1
páli,páli,4,1
esqualidez,esqualidez,10,1
aleucemia,aleucemia,9,1
manes,manes,5,1
fisco,fisco,5,1
aletologia,aletologia,10,1
rhesus,rhesus,6,1
salvados,salvados,8,1
brocos,brocos,6,1
pandarecos,pandarecos,10,1
brogúncias,brogúncias,10,1
media,media,5,1
aterosclerose,aterosclerose,13,1
antíctones,antíctones,10,1
permocarbónico,permocarbónico,14,1
entrós,entrós,6,1
vrancelhas,vrancelhas,10,1
gemónias,gemónias,8,1
antemão,antemão,7,1
lótus,lótus,5,1
vérmis,vérmis,6,1
raviólis,raviólis,8,1
entrolhos,entrolhos,9,1
iliquidez,iliquidez,9,1
plateau,plateau,7,1
hepatopâncreas,hepatopâncreas,14,1
hendíadis,hendíadis,9,1
lucidez,lucidez,7,1
diangas,diangas,7,1
manatuto,manatuto,8,1
re,re,2,1
preparatórios,preparatórios,13,1
nefas,nefas,5,1
hemorróidas,hemorróidas,11,1
hemorróides,hemorróides,11,1
ratio,ratio,5,1
velhaças,velhaças,8,1
tranchefilas,tranchefilas,12,1
gelidez,gelidez,7,1
alferes,alferes,7,1
afinco,afinco,6,1
calendas,calendas,8,1
brides,brides,6,1
hemotórax,hemotórax,9,1
trangalhadanças,trangalhadanças,15,1
bolandas,bolandas,8,1
pósteros,pósteros,8,1
funk,funk,4,1
essencial,essencial,9,1
acedares,acedares,8,1
vultanais,vultanais,9,1
siemens,siemens,7,1
arrecuas,arrecuas,8,1
ilécebras,ilécebras,9,1
heredossífilis,heredossífilis,14,1
vulturnais,vulturnais,10,1
didaqué,didaqué,7,1
finança,finança,7,1
finanças,finanças,8,1
